Sub-Category,Total_Sales,Average_Order_Value,Growth_Rate,Volatility,Cluster,PCA1,PCA2,Demand_Group
Accessories,164186.7,217.17817460317463,0.45757471482070033,1317.0572252538466,2,0.14691093211734954,-0.057081029522379256,Growing Demand
Appliances,104618.403,227.92680392156865,0.3806392793086035,771.1126536098733,2,-0.5022052683344331,-0.31883852548767994,Growing Demand
Art,26705.41,34.019630573248406,-0.020891054541184412,230.81390380172394,1,-1.8671837938200129,0.24625926873661125,"Low Volume, High Volatility"
Binders,200028.785,134.0675502680965,0.35616904118165954,1145.975203767899,2,-0.05976835175028802,0.4838449889758642,Growing Demand
Bookcases,113813.1987,503.5982243362832,0.9212386056005988,1169.911407534358,2,0.8059160094006222,-1.79523751824606,Growing Demand
Chairs,322822.73099999997,531.8331647446457,-0.026471765055581242,1835.2791558795914,3,0.697857851442319,2.4266092470310454,Declining Demand
Copiers,146248.094,2215.8802121212125,0.7619132742828176,3913.953415640822,0,4.211784681030516,-1.183936791752123,"High Volume, Stable Demand"
Envelopes,16128.046,65.03244354838709,0.14886466117915198,145.25261204976482,1,-1.6947274644846726,-0.32273658066133504,"Low Volume, High Volatility"
Fasteners,3001.96,14.02785046728972,0.4135791538254147,27.646854443122283,1,-1.5067630939828152,-1.1649844917673184,"Low Volume, High Volatility"
Furnishings,89212.018,95.82386466165413,0.24073041996509556,431.1225795772396,1,-1.0993661180845486,-0.04052220348889422,"Low Volume, High Volatility"
Labels,12347.726,34.587467787114846,0.2275365597583959,178.46917553198796,1,-1.6110984449292967,-0.5625408401101043,"Low Volume, High Volatility"
Machines,189238.631,1645.5533130434783,0.5187445440229822,2922.6701170963443,0,2.813233319507285,-0.17601181650641365,"High Volume, Stable Demand"
Paper,76828.304,57.42025710014948,0.33633079236213065,432.96278458628234,1,-1.0509925756729035,-0.3908102220894458,"Low Volume, High Volatility"
Phones,327782.448,374.1808767123287,0.0600645211731069,1653.8568092903563,3,0.5554335602987492,2.2308568828891255,Declining Demand
Storage,219343.392,263.6338846153846,0.15662802664849015,1220.952022937588,3,-0.08268508368986324,1.166479589102198,Declining Demand
Supplies,46420.308,252.28428260869563,0.5133617378118721,956.8069218700585,2,-0.38296099619432,-1.0942201543759154,Growing Demand
Tables,202810.628,645.8937197452229,0.31422042205013495,1468.5252775662389,2,0.6266148371463124,0.5528701972728252,Growing Demand
